title,rate,budget,revenue,runtime,year
The Lone Ranger,5.9,255000000,89289910,149.0,2013
Man of Steel,6.5,225000000,662845518,143.0,2013
The Hobbit: The Desolation of Smaug,7.6,250000000,958400000,161.0,2013
Iron Man 3,6.8,200000000,1215439994,130.0,2013
Monsters University,7.0,200000000,743559607,104.0,2013
Oz: The Great and Powerful,5.7,200000000,491868548,130.0,2013
World War Z,6.7,200000000,531865000,116.0,2013
Star Trek Into Darkness,7.4,190000000,467365246,132.0,2013
Jack the Giant Slayer,5.5,195000000,197687603,114.0,2013
The Great Gatsby,7.3,105000000,351040419,143.0,2013
Pacific Rim,6.7,180000000,407602906,131.0,2013
47 Ronin,5.9,175000000,150962475,119.0,2013
Frozen,7.3,150000000,1274219009,102.0,2013
Thor: The Dark World,6.8,170000000,644571402,112.0,2013
White House Down,6.4,150000000,205366737,131.0,2013
G.I. Joe: Retaliation,5.4,130000000,371876278,110.0,2013
Turbo,6.1,135000000,282570682,96.0,2013
The Hunger Games: Catching Fire,7.4,130000000,847423452,146.0,2013
After Earth,5.0,130000000,243843127,100.0,2013
R.I.P.D.,5.4,130000000,61648500,96.0,2013
Elysium,6.4,115000000,286140700,109.0,2013
Oblivion,6.4,120000000,286168572,124.0,2013
The Wolverine,6.3,120000000,415440673,126.0,2013
The Croods,6.8,135000000,585178928,98.0,2013
Gravity,7.3,105000000,716392705,91.0,2013
The Smurfs 2,5.5,105000000,347434178,105.0,2013
Ender's Game,6.6,110000000,125537191,114.0,2013
Epic,6.4,100000000,268426634,102.0,2013
The Wolf of Wall Street,7.9,100000000,392000694,180.0,2013
A Good Day to Die Hard,5.2,92000000,304654182,98.0,2013
The Secret Life of Walter Mitty,7.0,90000000,188133322,114.0,2013
Percy Jackson: Sea of Monsters,5.9,90000000,174578751,106.0,2013
RED 2,6.4,84000000,0,116.0,2013
Grown Ups 2,5.8,80000000,246984278,100.0,2013
Walking With Dinosaurs,5.2,80000000,126546518,87.0,2013
Cloudy with a Chance of Meatballs 2,6.4,78000000,248384621,95.0,2013
Despicable Me 2,7.0,76000000,970761885,98.0,2013
Now You See Me,7.3,75000000,117698894,115.0,2013
Olympus Has Fallen,6.2,70000000,161025640,120.0,2013
Legends of Oz: Dorothy's Return,5.9,70000000,18662027,88.0,2013
Escape Plan,6.7,50000000,122915111,115.0,2013
2 Guns,6.6,61000000,131940411,109.0,2013
Gangster Squad,6.2,60000000,105200903,113.0,2013
