title,rate,budget,revenue,runtime,year
Howl's Moving Castle,8.2,24000000,234710455,119.0,2004
Eternal Sunshine of the Spotless Mind,7.9,20000000,72258126,108.0,2004
Live-In Maid,7.8,0,0,83.0,2004
Harry Potter and the Prisoner of Azkaban,7.7,130000000,789804554,141.0,2004
Million Dollar Baby,7.7,30000000,216763646,132.0,2004
The Notebook,7.7,29000000,115603229,123.0,2004
Downfall,7.7,18339750,92180910,156.0,2004
The Case of the Grinning Cat,7.7,0,0,59.0,2004
Kill Bill: Vol. 2,7.6,30000000,152159461,136.0,2004
Riding Giants,7.6,2600000,3166000,105.0,2004
Before Sunset,7.6,2700000,15992615,80.0,2004
Hotel Rwanda,7.5,17500000,38000000,121.0,2004
The Chorus,7.5,0,0,96.0,2004
Shaun of the Dead,7.5,4000000,30039392,99.0,2004
The Incredibles,7.4,92000000,631442092,115.0,2004
Tae Guk Gi: The Brotherhood of War,7.4,0,15,140.0,2004
Veer-Zaara,7.4,7000000,29385320,192.0,2004
Man on Fire,7.3,70000000,130293714,146.0,2004
The Butterfly Effect,7.3,13000000,96060858,113.0,2004
Saint Ralph,7.3,0,0,95.0,2004
The Machinist,7.3,5000000,8203235,101.0,2004
The Bourne Supremacy,7.2,75000000,288500217,108.0,2004
Ray,7.2,40000000,124731534,152.0,2004
Finding Neverland,7.2,25000000,116766556,106.0,2004
Kung Fu Hustle,7.2,20000000,100914445,99.0,2004
The Sea Inside,7.2,12806000,38535221,125.0,2004
Crash,7.2,6500000,98410061,112.0,2004
Saw,7.2,1200000,103911669,103.0,2004
Dead Man's Shoes,7.2,0,0,90.0,2004
A Very Long Engagement,7.1,47000000,0,133.0,2004
The Life Aquatic with Steve Zissou,7.1,50000000,34808403,119.0,2004
House of Flying Daggers,7.1,0,92863945,119.0,2004
Garden State,7.1,2500000,26781723,102.0,2004
It's All Gone Pete Tong,7.1,2000000,120620,90.0,2004
The Aviator,7.0,116000000,102000000,170.0,2004
The Terminal,7.0,60000000,219417255,128.0,2004
Collateral,7.0,65000000,217764291,120.0,2004
The Phantom of the Opera,7.0,70000000,154648887,143.0,2004
Miracle,7.0,28000000,64445708,135.0,2004
Layer Cake,7.0,6500000,11850214,105.0,2004
Dear Frankie,7.0,0,0,105.0,2004
Troy,6.9,175000000,497409852,163.0,2004
Two Brothers,6.9,74500000,62172050,109.0,2004
The Passion of the Christ,6.9,30000000,611899420,127.0,2004
Mean Girls,6.9,17000000,129042871,97.0,2004
Sideways,6.9,16000000,109502303,126.0,2004
2046,6.9,12000000,19271312,129.0,2004
Maria Full of Grace,6.9,0,0,101.0,2004
Freeze Frame,6.9,0,0,99.0,2004
Mean Creek,6.9,500000,603943,90.0,2004
As It Is in Heaven,6.9,0,0,132.0,2004
Primer,6.9,7000,424760,77.0,2004
Dawn of the Dead,6.8,28000000,102356381,101.0,2004
Vera Drake,6.8,11000000,0,125.0,2004
The Blue Butterfly,6.8,0,0,97.0,2004
A Home at the End of the World,6.8,6500000,1548955,96.0,2004
Fahrenheit 9/11,6.8,6000000,119114517,122.0,2004
Saving Face,6.8,0,0,91.0,2004
The Holy Girl,6.8,1400000,0,106.0,2004
Spider-Man 2,6.7,200000000,783766341,127.0,2004
"I, Robot",6.7,120000000,347234916,115.0,2004
Shrek 2,6.7,150000000,919838758,93.0,2004
Closer,6.7,27000000,115505027,104.0,2004
The SpongeBob SquarePants Movie,6.7,30000000,140161792,87.0,2004
Wicker Park,6.7,30000000,13001257,114.0,2004
The Merchant of Venice,6.7,0,0,138.0,2004
Anchorman: The Legend of Ron Burgundy,6.7,26000000,90574188,94.0,2004
Summer Storm,6.7,2700000,0,98.0,2004
Napoleon Dynamite,6.7,400000,46118097,95.0,2004
Clean,6.7,0,0,111.0,2004
50 First Dates,6.6,75000000,196482882,99.0,2004
Team America: World Police,6.6,32000000,50907422,98.0,2004
Kinsey,6.6,0,0,118.0,2004
Harold & Kumar Go to White Castle,6.6,9000000,23936908,88.0,2004
Super Size Me,6.6,65000,28575078,100.0,2004
Hidalgo,6.5,100000000,108103450,136.0,2004
Hellboy,6.5,66000000,99318987,122.0,2004
EuroTrip,6.5,25000000,20796847,93.0,2004
Beyond the Sea,6.5,23000000,0,118.0,2004
District B13,6.5,12000000,9584131,84.0,2004
Bride & Prejudice,6.5,7000000,0,111.0,2004
The Polar Express,6.4,165000000,305875730,100.0,2004
Ocean's Twelve,6.4,110000000,362744280,125.0,2004
National Treasure,6.4,100000000,347451894,131.0,2004
Secret Window,6.4,40000000,92913171,96.0,2004
Connie and Carla,6.4,20000000,11341016,98.0,2004
Steamboy,6.4,20000000,0,126.0,2004
Being Julia,6.4,0,0,104.0,2004
Eulogy,6.4,0,0,91.0,2004
The Chronicles of Riddick,6.3,105000000,115772733,119.0,2004
13 Going on 30,6.3,37000000,96455697,98.0,2004
Mindhunters,6.3,27000000,21148829,106.0,2004
The Girl Next Door,6.3,25000000,30411183,108.0,2004
White Chicks,6.3,37000000,113086475,109.0,2004
De-Lovely,6.3,20000000,0,125.0,2004
Imaginary Heroes,6.3,10000000,0,111.0,2004
Saved!,6.3,0,0,92.0,2004
Night Watch,6.3,4200000,32000000,114.0,2004
The Day After Tomorrow,6.2,125000000,544272402,124.0,2004
